student_token,term,academic_career,faculty_code,faculty_descr,academic_plan,academic_plan_descr,academic_plan_type,academic_plan_type_descr,academic_program,academic_program_descr,degree,degree_descr,admit_term,completion_term,degree_checkout_status_descr
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1620.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1740.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_b8b20bcc7bf4c5935b58bca39ca40ea1c35a754c,1640.0,GRAD,2.0,BIZ,0200MBACWK,MBA,GDC,Graduate Coursework,M0210,Master of Business Admin,M021000,Master of Business Administration,1610.0,1740.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1620.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1610.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1720.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1520.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1310.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1720.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1510.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1710.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1520.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1610.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1420.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1510.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1310.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1410.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1320.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1620.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1710.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1320.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1420.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_27704e6075a9d46bc7d169f36c4d03a32678b6f3,1410.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1310.0,1720.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1410.0,UGRD,2.0,BIZ,0200ACCMAJ,Accountancy,MAJ,Major,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1310.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1620.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1710.0,GRAD,2.0,BIZ,0200MGTCWK,Management (MSc),GDC,Graduate Coursework,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1510.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1610.0,UGRD,2.0,BIZ,Z000CEMTDU,CDMP-CEMS (UG),CDM,Concurrent Double Masters Deg,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1320.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1310.0,UGRD,2.0,BIZ,0200ACCMAJ,Accountancy,MAJ,Major,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1810.0,GRAD,2.0,BIZ,0200MGTCWK,Management (MSc),GDC,Graduate Coursework,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1810.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1610.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1820.0,GRAD,2.0,BIZ,Z000CEMTDG,CDMP-CEMS (GD),CDM,Concurrent Double Masters Deg,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1820.0,GRAD,2.0,BIZ,0200MGTCWK,Management (MSc),GDC,Graduate Coursework,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1840.0,GRAD,2.0,BIZ,0200MGTCWK,Management (MSc),GDC,Graduate Coursework,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1710.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1320.0,UGRD,2.0,BIZ,0200ACCMAJ,Accountancy,MAJ,Major,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1520.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1520.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1410.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1720.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1420.0,UGRD,2.0,BIZ,Z000INTCUG,CDP - Internal (UG),CDP,Concurrent Degree Programme,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1620.0,UGRD,2.0,BIZ,Z000CEMTDU,CDMP-CEMS (UG),CDM,Concurrent Double Masters Deg,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1710.0,UGRD,2.0,BIZ,Z000CEMTDU,CDMP-CEMS (UG),CDM,Concurrent Double Masters Deg,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1840.0,GRAD,2.0,BIZ,Z000CEMTDG,CDMP-CEMS (GD),CDM,Concurrent Double Masters Deg,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1710.0,GRAD,2.0,BIZ,Z000CEMTDG,CDMP-CEMS (GD),CDM,Concurrent Double Masters Deg,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1720.0,GRAD,2.0,BIZ,0200MGTCWK,Management (MSc),GDC,Graduate Coursework,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1810.0,GRAD,2.0,BIZ,Z000CEMTDG,CDMP-CEMS (GD),CDM,Concurrent Double Masters Deg,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1510.0,UGRD,2.0,BIZ,0200ACCHON,Accountancy (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1720.0,UGRD,2.0,BIZ,Z000CEMTDU,CDMP-CEMS (UG),CDM,Concurrent Double Masters Deg,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1420.0,UGRD,2.0,BIZ,0200ACCMAJ,Accountancy,MAJ,Major,B0210,Bachelor of Business Admin,B021001,Bachelor of Business Administration (Accountancy),1310.0,1810.0,Degree Awarded
mk_d47da8a0e758cb4990c0dad54e7a48adc153f3f0,1720.0,GRAD,2.0,BIZ,Z000CEMTDG,CDMP-CEMS (GD),CDM,Concurrent Double Masters Deg,M0216,Master of Science (Mgt),M021600,Master of Science (Management),1710.0,1840.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1110.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1210.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1210.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1120.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1020.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1140.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1040.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1140.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1220.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1310.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1310.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1010.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1220.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1040.0,UGRD,2.0,BIZ,1502TMBSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1320.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1110.0,UGRD,2.0,BIZ,1502TMBSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1320.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_ece412e8155bc0f5e8c9060eedd1c4c55086e3b3,1120.0,UGRD,2.0,BIZ,1501TMRSPL,UTown Resident-Tembusu,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1010.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1220.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1120.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1320.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1310.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1110.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1210.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_344ea5e63ad5d01d63163ebfaae5cf340bcf8def,1140.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1110.0,1320.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1820.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1810.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1820.0,UGRD,2.0,BIZ,AQ00POLAAQ,Polytechnic Req Track-UGRD,AAR,AA Requirement,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1810.0,UGRD,2.0,BIZ,AQ00POLAAQ,Polytechnic Req Track-UGRD,AAR,AA Requirement,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1820.0,UGRD,2.0,BIZ,3000CTPSPL,Chua Thian Poh Comm L'ship Ctr,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1510.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1520.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1740.0,UGRD,2.0,BIZ,AQ00POLAAQ,Polytechnic Req Track-UGRD,AAR,AA Requirement,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1620.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1520.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1630.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1610.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1610.0,UGRD,2.0,BIZ,0200BBAMAJ,BBA,MAJ,Major,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1810.0,UGRD,2.0,BIZ,3000CTPSPL,Chua Thian Poh Comm L'ship Ctr,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1630.0,UGRD,2.0,BIZ,1400USPSPL,Univ Scholars Programme,SPL,Special Plan,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
mk_e353405612b39fda4cd9ecd396609c12c23b0c43,1710.0,UGRD,2.0,BIZ,0200BBAHON,BBA (Hons),HON,Honors,B0210,Bachelor of Business Admin,B021000,Bachelor of Business Administration,1510.0,1820.0,Degree Awarded
